,CouponID,CouponCode,Discount,ExpiryDate,Status
1102,CUPNXX-ID1103,Uz6SnVY8,4%,2024-11-21,Used
1103,CUPNXX-ID1104,pgbqr5iA,26%,2025-03-13,Active
1104,CUPNXX-ID1105,I-Kbebw-,44%,2025-07-01,Active
1105,CUPNXX-ID1106,KLRyJRFm,45%,2025-12-22,Used
1106,CUPNXX-ID1107,a5pqIIA3,27%,2025-04-01,Active
1107,CUPNXX-ID1108,pUklKslA,43%,2025-06-11,Used
1108,CUPNXX-ID1109,pgbqr5iA,19%,2025-11-29,Used
1109,CUPNXX-ID1110,bZVauVRq,6%,2025-02-19,Active
1110,CUPNXX-ID1111,KLRyJRFm,24%,2024-04-02,Active
1111,CUPNXX-ID1112,VHvhUUJB,9%,2025-03-19,Unused
1112,CUPNXX-ID1113,#NAME?,8%,2024-12-16,Unused
1113,CUPNXX-ID1114,UwrUxelq,17%,2025-09-16,Active
1114,CUPNXX-ID1115,vq8a5G9r,31%,2025-10-03,Unused
1115,CUPNXX-ID1116,f959hraT,17%,2024-09-13,Used
1116,CUPNXX-ID1117,4GhUfOIC,17%,2024-08-14,Unused
1117,CUPNXX-ID1118,km5XwyGy,7%,2026-01-18,Unused
1118,CUPNXX-ID1119,KvoDl0Qo,42%,2025-03-01,Unused
1119,CUPNXX-ID1120,BS6iX0H0,31%,2025-10-19,Used
1120,CUPNXX-ID1121,bZVauVRq,7%,2025-10-28,Used
1121,CUPNXX-ID1122,etXMIli-,30%,2024-11-25,Unused
1122,CUPNXX-ID1123,aqKkEP7q,9%,2025-02-22,Used
1123,CUPNXX-ID1124,050Tnf9z,25%,2024-07-15,Active
1124,CUPNXX-ID1125,BS6iX0H0,39%,2025-06-23,Unused
1125,CUPNXX-ID1126,ya8fRiHn,36%,2025-09-02,Active
1126,CUPNXX-ID1127,eKAbZjaL,14%,2025-11-12,Used
1127,CUPNXX-ID1128,7hq82lNh,6%,2024-04-05,Used
1128,CUPNXX-ID1129,#NAME?,48%,2025-12-28,Used
1129,CUPNXX-ID1130,oTL7hUCP,25%,2025-06-28,Unused
1130,CUPNXX-ID1131,BS6iX0H0,41%,2025-10-16,Used
1131,CUPNXX-ID1132,nwQoyKYd,22%,2025-06-09,Unused
1132,CUPNXX-ID1133,plpAQqfp,22%,2024-05-30,Used
1133,CUPNXX-ID1134,etXMIli-,42%,2025-01-15,Unused
1134,CUPNXX-ID1135,km5XwyGy,36%,2024-07-02,Unused
1135,CUPNXX-ID1136,xAfbaNJ2,28%,2025-08-07,Used
1136,CUPNXX-ID1137,bZVauVRq,17%,2025-08-29,Unused
1137,CUPNXX-ID1138,EBuTFmsA,11%,2025-09-05,Used
1138,CUPNXX-ID1139,w7rTDJBF,27%,2024-08-22,Active
1139,CUPNXX-ID1140,pUklKslA,49%,2025-09-23,Unused
1140,CUPNXX-ID1141,Uz6SnVY8,19%,2025-07-04,Unused
1141,CUPNXX-ID1142,VHvhUUJB,7%,2025-01-19,Unused
1142,CUPNXX-ID1143,KLRyJRFm,31%,2026-01-13,Used
1143,CUPNXX-ID1144,YJ_RtCzG,16%,2024-05-27,Unused
1144,CUPNXX-ID1145,7ZrBeuaZ,47%,2025-01-17,Active
1145,CUPNXX-ID1146,nwQoyKYd,40%,2024-11-18,Unused
1146,CUPNXX-ID1147,#NAME?,39%,2026-01-07,Active
1147,CUPNXX-ID1148,pgbqr5iA,46%,2025-10-10,Active
1148,CUPNXX-ID1149,fS-iX2A9,14%,2025-01-27,Used
1149,CUPNXX-ID1150,bZVauVRq,44%,2026-02-13,Unused
1150,CUPNXX-ID1151,I-Kbebw-,35%,2025-09-17,Unused
1151,CUPNXX-ID1152,U8gGPyv1,26%,2024-08-15,Active
1152,CUPNXX-ID1153,FnNbj3WT,25%,2025-08-23,Unused
1153,CUPNXX-ID1154,aqKkEP7q,16%,2025-06-03,Used
1154,CUPNXX-ID1155,4GhUfOIC,50%,2025-07-19,Active
1155,CUPNXX-ID1156,yWYOpTus,35%,2025-10-15,Used
1156,CUPNXX-ID1157,qI-LOnNP,6%,2025-11-19,Unused
1157,CUPNXX-ID1158,bsbAexn6,34%,2025-12-18,Active
1158,CUPNXX-ID1159,bZVauVRq,22%,2024-12-09,Active
1159,CUPNXX-ID1160,pUklKslA,46%,2024-11-13,Unused
1160,CUPNXX-ID1161,pgbqr5iA,12%,2024-11-14,Used
1161,CUPNXX-ID1162,U8gGPyv1,12%,2026-01-05,Unused
1162,CUPNXX-ID1163,f959hraT,36%,2026-03-08,Active
1163,CUPNXX-ID1164,KLRyJRFm,6%,2024-07-17,Unused
1164,CUPNXX-ID1165,C9uHmutp,25%,2025-09-20,Unused
1165,CUPNXX-ID1166,3CJLjozf,44%,2024-06-24,Unused
1166,CUPNXX-ID1167,U8gGPyv1,20%,2025-04-25,Unused
1167,CUPNXX-ID1168,etXMIli-,18%,2024-07-09,Unused
1168,CUPNXX-ID1169,7hq82lNh,45%,2025-11-06,Unused
1169,CUPNXX-ID1170,7zwKWCsI,10%,2025-03-08,Unused
1170,CUPNXX-ID1171,3CJLjozf,48%,2025-06-19,Active
1171,CUPNXX-ID1172,cJOrLxto,14%,2026-01-26,Active
1172,CUPNXX-ID1173,bZVauVRq,46%,2024-11-03,Unused
1173,CUPNXX-ID1174,BS6iX0H0,6%,2024-08-08,Active
1174,CUPNXX-ID1175,hco6BTAp,16%,2025-07-05,Active
1175,CUPNXX-ID1176,xAfbaNJ2,34%,2025-03-28,Used
1176,CUPNXX-ID1177,yWYOpTus,16%,2026-01-13,Active
1177,CUPNXX-ID1178,26WIPeOm,30%,2025-08-23,Active
1178,CUPNXX-ID1179,xAfbaNJ2,48%,2024-07-05,Used
1179,CUPNXX-ID1180,BcO91S2L,11%,2025-11-26,Active
1180,CUPNXX-ID1181,fS-iX2A9,48%,2026-02-06,Used
1181,CUPNXX-ID1182,050Tnf9z,29%,2025-08-22,Unused
1182,CUPNXX-ID1183,BS6iX0H0,30%,2024-10-09,Active
1183,CUPNXX-ID1184,etXMIli-,8%,2026-01-25,Unused
1184,CUPNXX-ID1185,fS-iX2A9,16%,2025-01-26,Unused
1185,CUPNXX-ID1186,km5XwyGy,22%,2025-03-02,Active
1186,CUPNXX-ID1187,vq8a5G9r,12%,2024-05-01,Unused
1187,CUPNXX-ID1188,KvoDl0Qo,19%,2024-11-16,Active
1188,CUPNXX-ID1189,bZVauVRq,32%,2025-04-27,Unused
1189,CUPNXX-ID1190,LPLihMXi,28%,2024-10-28,Used
1190,CUPNXX-ID1191,BcO91S2L,20%,2025-05-22,Active
1191,CUPNXX-ID1192,VHvhUUJB,45%,2025-02-07,Active
1192,CUPNXX-ID1193,av0MmDHl,7%,2025-01-26,Used
1193,CUPNXX-ID1194,7zwKWCsI,44%,2024-08-28,Active
1194,CUPNXX-ID1195,EBuTFmsA,17%,2025-06-28,Used
1195,CUPNXX-ID1196,bZVauVRq,9%,2024-05-06,Active
1196,CUPNXX-ID1197,km5XwyGy,20%,2025-02-14,Unused
1197,CUPNXX-ID1198,EBuTFmsA,24%,2024-10-05,Unused
1198,CUPNXX-ID1199,EBuTFmsA,49%,2025-04-23,Active
1199,CUPNXX-ID1200,bZVauVRq,12%,2025-11-22,Active
1200,CUPNXX-ID1201,QcP3Lwt7,33%,2024-09-27,Active
1201,CUPNXX-ID1202,FnNbj3WT,27%,2024-05-23,Used
1202,CUPNXX-ID1203,U8gGPyv1,42%,2024-06-13,Used
1203,CUPNXX-ID1204,050Tnf9z,15%,2024-09-13,Active
1204,CUPNXX-ID1205,eKAbZjaL,26%,2025-12-07,Active
1205,CUPNXX-ID1206,eKAbZjaL,50%,2024-11-02,Used
1206,CUPNXX-ID1207,fS-iX2A9,4%,2024-11-21,Used
1207,CUPNXX-ID1208,U8gGPyv1,10%,2025-05-10,Used
1208,CUPNXX-ID1209,hco6BTAp,38%,2026-02-05,Active
1209,CUPNXX-ID1210,C9uHmutp,13%,2026-02-22,Active
1210,CUPNXX-ID1211,plpAQqfp,38%,2025-05-06,Active
1211,CUPNXX-ID1212,fS-iX2A9,9%,2025-06-30,Unused
1212,CUPNXX-ID1213,nwQoyKYd,20%,2025-07-30,Used
1213,CUPNXX-ID1214,i8qksTR7,16%,2026-01-25,Active
1214,CUPNXX-ID1215,nwQoyKYd,47%,2025-05-16,Unused
1215,CUPNXX-ID1216,eKAbZjaL,16%,2025-10-19,Unused
1216,CUPNXX-ID1217,FnNbj3WT,11%,2025-09-14,Used
1217,CUPNXX-ID1218,oTL7hUCP,33%,2025-08-10,Active
1218,CUPNXX-ID1219,7ZrBeuaZ,7%,2025-11-16,Used
1219,CUPNXX-ID1220,cJOrLxto,24%,2025-01-14,Unused
1220,CUPNXX-ID1221,pUklKslA,10%,2024-05-26,Active
1221,CUPNXX-ID1222,YJ_RtCzG,41%,2024-04-24,Used
1222,CUPNXX-ID1223,pUklKslA,22%,2024-11-24,Used
1223,CUPNXX-ID1224,pgbqr5iA,19%,2026-03-15,Unused
1224,CUPNXX-ID1225,w7rTDJBF,15%,2025-04-08,Used
1225,CUPNXX-ID1226,_8_zA-j4,10%,2024-04-07,Active
1226,CUPNXX-ID1227,C9uHmutp,34%,2025-07-24,Unused
1227,CUPNXX-ID1228,av0MmDHl,25%,2026-03-13,Used
1228,CUPNXX-ID1229,plpAQqfp,7%,2025-09-23,Active
1229,CUPNXX-ID1230,f959hraT,49%,2025-09-04,Active
1230,CUPNXX-ID1231,pUklKslA,22%,2025-01-15,Used
1231,CUPNXX-ID1232,xAfbaNJ2,42%,2024-05-12,Used
1232,CUPNXX-ID1233,I-Kbebw-,35%,2024-11-15,Used
1233,CUPNXX-ID1234,KLRyJRFm,28%,2024-09-22,Used
1234,CUPNXX-ID1235,etXMIli-,19%,2025-10-01,Used
1235,CUPNXX-ID1236,7hq82lNh,35%,2025-08-18,Unused
1236,CUPNXX-ID1237,ya8fRiHn,11%,2025-11-04,Used
1237,CUPNXX-ID1238,aqKkEP7q,20%,2024-10-11,Used
1238,CUPNXX-ID1239,VHvhUUJB,43%,2025-02-20,Unused
1239,CUPNXX-ID1240,bsbAexn6,19%,2024-07-17,Active
1240,CUPNXX-ID1241,7ZrBeuaZ,49%,2025-09-13,Unused
1241,CUPNXX-ID1242,YJ_RtCzG,30%,2025-02-12,Active
1242,CUPNXX-ID1243,FnNbj3WT,17%,2025-03-14,Unused
1243,CUPNXX-ID1244,i8qksTR7,47%,2025-08-12,Used
1244,CUPNXX-ID1245,BcO91S2L,31%,2025-11-28,Unused
1245,CUPNXX-ID1246,ya8fRiHn,36%,2025-03-21,Active
1246,CUPNXX-ID1247,UwrUxelq,44%,2025-09-27,Used
1247,CUPNXX-ID1248,YJ_RtCzG,13%,2025-09-30,Active
1248,CUPNXX-ID1249,BcO91S2L,39%,2025-07-29,Used
1249,CUPNXX-ID1250,BS6iX0H0,36%,2025-03-23,Active
1250,CUPNXX-ID1251,EBuTFmsA,36%,2024-07-12,Active
1251,CUPNXX-ID1252,Uz6SnVY8,34%,2026-01-07,Used
1252,CUPNXX-ID1253,oTL7hUCP,33%,2025-02-18,Active
1253,CUPNXX-ID1254,KvoDl0Qo,31%,2025-07-18,Used
1254,CUPNXX-ID1255,BcO91S2L,11%,2024-10-06,Used
1255,CUPNXX-ID1256,plpAQqfp,23%,2025-05-02,Used
1256,CUPNXX-ID1257,BcO91S2L,9%,2024-09-13,Active
1257,CUPNXX-ID1258,#NAME?,22%,2025-12-09,Used
1258,CUPNXX-ID1259,UwrUxelq,28%,2024-09-05,Active
1259,CUPNXX-ID1260,3CJLjozf,49%,2024-10-02,Active
1260,CUPNXX-ID1261,hco6BTAp,25%,2025-06-07,Unused
1261,CUPNXX-ID1262,VHvhUUJB,25%,2026-03-18,Used
1262,CUPNXX-ID1263,BS6iX0H0,26%,2025-12-21,Used
1263,CUPNXX-ID1264,w7rTDJBF,46%,2025-11-25,Unused
1264,CUPNXX-ID1265,26WIPeOm,7%,2025-07-17,Active
1265,CUPNXX-ID1266,i8qksTR7,10%,2024-06-05,Unused
1266,CUPNXX-ID1267,EBuTFmsA,26%,2025-08-31,Unused
1267,CUPNXX-ID1268,KvoDl0Qo,17%,2024-06-22,Active
1268,CUPNXX-ID1269,fS-iX2A9,36%,2025-04-24,Active
1269,CUPNXX-ID1270,f959hraT,47%,2025-10-05,Unused
1270,CUPNXX-ID1271,U8gGPyv1,17%,2025-08-26,Active
1271,CUPNXX-ID1272,av0MmDHl,43%,2025-11-12,Used
1272,CUPNXX-ID1273,VHvhUUJB,20%,2024-11-30,Active
1273,CUPNXX-ID1274,3CJLjozf,34%,2024-12-03,Active
1274,CUPNXX-ID1275,7zwKWCsI,4%,2025-01-25,Unused
1275,CUPNXX-ID1276,#NAME?,4%,2024-06-16,Used
1276,CUPNXX-ID1277,7zwKWCsI,28%,2024-04-20,Active
1277,CUPNXX-ID1278,aqKkEP7q,7%,2024-09-28,Active
1278,CUPNXX-ID1279,KvoDl0Qo,15%,2024-04-13,Unused
1279,CUPNXX-ID1280,bsbAexn6,49%,2025-06-22,Unused
1280,CUPNXX-ID1281,ya8fRiHn,29%,2024-11-04,Used
1281,CUPNXX-ID1282,nwQoyKYd,17%,2025-02-25,Active
1282,CUPNXX-ID1283,YuC2cYFU,7%,2024-11-08,Used
1283,CUPNXX-ID1284,050Tnf9z,26%,2025-08-11,Unused
1284,CUPNXX-ID1285,4GhUfOIC,10%,2025-01-19,Active
1285,CUPNXX-ID1286,KvoDl0Qo,36%,2025-02-15,Active
1286,CUPNXX-ID1287,oTL7hUCP,5%,2025-12-12,Active
1287,CUPNXX-ID1288,nwQoyKYd,35%,2024-06-02,Used
1288,CUPNXX-ID1289,ya8fRiHn,18%,2024-03-25,Used
1289,CUPNXX-ID1290,YuC2cYFU,17%,2024-06-17,Active
1290,CUPNXX-ID1291,I-Kbebw-,18%,2024-07-21,Used
1291,CUPNXX-ID1292,QcP3Lwt7,31%,2025-01-15,Active
1292,CUPNXX-ID1293,f959hraT,47%,2024-07-04,Active
1293,CUPNXX-ID1294,eKAbZjaL,47%,2024-10-11,Unused
1294,CUPNXX-ID1295,etXMIli-,32%,2025-10-27,Active
1295,CUPNXX-ID1296,hco6BTAp,38%,2026-01-01,Unused
1296,CUPNXX-ID1297,nwQoyKYd,42%,2024-09-13,Unused
1297,CUPNXX-ID1298,ya8fRiHn,49%,2024-03-27,Used
1298,CUPNXX-ID1299,I-Kbebw-,44%,2025-10-22,Used
1299,CUPNXX-ID1300,YuC2cYFU,19%,2024-07-27,Active
1300,CUPNXX-ID1301,oTL7hUCP,24%,2025-04-01,Active
1301,CUPNXX-ID1302,#NAME?,49%,2026-01-17,Unused
1302,CUPNXX-ID1303,BcO91S2L,21%,2025-03-21,Used
1303,CUPNXX-ID1304,bsbAexn6,5%,2025-01-12,Used
1304,CUPNXX-ID1305,cJOrLxto,44%,2025-02-14,Used
1305,CUPNXX-ID1306,EBuTFmsA,19%,2024-04-01,Unused
1306,CUPNXX-ID1307,KLRyJRFm,17%,2025-09-02,Unused
1307,CUPNXX-ID1308,BcO91S2L,36%,2025-10-29,Unused
1308,CUPNXX-ID1309,cJOrLxto,46%,2024-05-28,Used
1309,CUPNXX-ID1310,4GhUfOIC,8%,2025-11-29,Used
1310,CUPNXX-ID1311,LPLihMXi,33%,2025-02-02,Used
1311,CUPNXX-ID1312,nwQoyKYd,24%,2024-08-31,Active
1312,CUPNXX-ID1313,U8gGPyv1,40%,2024-05-29,Active
1313,CUPNXX-ID1314,oTL7hUCP,38%,2024-04-30,Unused
1314,CUPNXX-ID1315,yWYOpTus,38%,2025-11-27,Active
1315,CUPNXX-ID1316,hco6BTAp,39%,2024-11-24,Active
1316,CUPNXX-ID1317,3CJLjozf,42%,2024-11-09,Used
1317,CUPNXX-ID1318,BS6iX0H0,30%,2025-10-28,Used
1318,CUPNXX-ID1319,km5XwyGy,31%,2026-01-04,Unused
1319,CUPNXX-ID1320,EBuTFmsA,49%,2024-12-30,Used
1320,CUPNXX-ID1321,7zwKWCsI,48%,2026-01-27,Active
1321,CUPNXX-ID1322,3CJLjozf,27%,2025-03-04,Unused
1322,CUPNXX-ID1323,_8_zA-j4,42%,2025-11-02,Used
1323,CUPNXX-ID1324,EBuTFmsA,41%,2025-08-29,Used
1324,CUPNXX-ID1325,oTL7hUCP,29%,2026-03-08,Used
1325,CUPNXX-ID1326,050Tnf9z,6%,2026-01-15,Unused
1326,CUPNXX-ID1327,vq8a5G9r,42%,2025-01-29,Active
1327,CUPNXX-ID1328,aqKkEP7q,14%,2025-08-05,Unused
1328,CUPNXX-ID1329,oTL7hUCP,5%,2025-10-30,Unused
1329,CUPNXX-ID1330,VHvhUUJB,31%,2025-12-15,Used
1330,CUPNXX-ID1331,qI-LOnNP,13%,2025-01-08,Unused
1331,CUPNXX-ID1332,ya8fRiHn,21%,2025-04-10,Active
1332,CUPNXX-ID1333,oTL7hUCP,29%,2024-12-26,Active
1333,CUPNXX-ID1334,km5XwyGy,47%,2026-01-14,Active
1334,CUPNXX-ID1335,3CJLjozf,12%,2024-07-25,Unused
1335,CUPNXX-ID1336,4GhUfOIC,13%,2025-08-04,Active
1336,CUPNXX-ID1337,fS-iX2A9,14%,2024-08-01,Unused
1337,CUPNXX-ID1338,nwQoyKYd,20%,2024-12-08,Used
1338,CUPNXX-ID1339,cJOrLxto,28%,2025-11-08,Used
1339,CUPNXX-ID1340,i8qksTR7,10%,2025-06-19,Active
1340,CUPNXX-ID1341,i8qksTR7,46%,2025-01-22,Unused
1341,CUPNXX-ID1342,xAfbaNJ2,32%,2025-05-25,Used
1342,CUPNXX-ID1343,7hq82lNh,8%,2026-01-23,Active
1343,CUPNXX-ID1344,7zwKWCsI,38%,2024-08-21,Unused
1344,CUPNXX-ID1345,YuC2cYFU,12%,2026-01-21,Active
1345,CUPNXX-ID1346,FnNbj3WT,41%,2026-01-08,Used
1346,CUPNXX-ID1347,hco6BTAp,48%,2025-10-21,Unused
1347,CUPNXX-ID1348,f959hraT,46%,2025-07-15,Active
1348,CUPNXX-ID1349,qI-LOnNP,47%,2024-11-08,Active
1349,CUPNXX-ID1350,km5XwyGy,9%,2025-02-01,Active
1350,CUPNXX-ID1351,3CJLjozf,39%,2026-02-13,Used
1351,CUPNXX-ID1352,FnNbj3WT,4%,2024-10-17,Unused
1352,CUPNXX-ID1353,3CJLjozf,20%,2024-05-31,Used
1353,CUPNXX-ID1354,LPLihMXi,15%,2025-02-03,Unused
1354,CUPNXX-ID1355,etXMIli-,29%,2024-07-04,Unused
1355,CUPNXX-ID1356,pgbqr5iA,8%,2024-03-30,Unused
1356,CUPNXX-ID1357,#NAME?,25%,2025-12-25,Active
1357,CUPNXX-ID1358,I-Kbebw-,43%,2025-12-02,Unused
1358,CUPNXX-ID1359,i8qksTR7,34%,2025-03-25,Active
1359,CUPNXX-ID1360,7ZrBeuaZ,29%,2025-05-03,Used
1360,CUPNXX-ID1361,4GhUfOIC,20%,2024-10-15,Used
1361,CUPNXX-ID1362,_8_zA-j4,30%,2025-10-28,Active
1362,CUPNXX-ID1363,a5pqIIA3,10%,2025-12-24,Unused
1363,CUPNXX-ID1364,KvoDl0Qo,11%,2026-02-24,Used
1364,CUPNXX-ID1365,KvoDl0Qo,6%,2025-02-20,Active
1365,CUPNXX-ID1366,YuC2cYFU,47%,2024-04-01,Used
1366,CUPNXX-ID1367,7hq82lNh,19%,2026-01-05,Unused
1367,CUPNXX-ID1368,U8gGPyv1,49%,2025-04-04,Unused
1368,CUPNXX-ID1369,QcP3Lwt7,46%,2024-11-27,Used
1369,CUPNXX-ID1370,FnNbj3WT,14%,2025-12-16,Used
1370,CUPNXX-ID1371,fS-iX2A9,4%,2024-06-26,Unused
1371,CUPNXX-ID1372,etXMIli-,46%,2024-12-12,Unused
1372,CUPNXX-ID1373,fS-iX2A9,32%,2026-03-05,Used
1373,CUPNXX-ID1374,etXMIli-,24%,2025-01-15,Used
1374,CUPNXX-ID1375,i8qksTR7,18%,2024-08-12,Unused
1375,CUPNXX-ID1376,qI-LOnNP,28%,2024-11-17,Active
1376,CUPNXX-ID1377,hco6BTAp,32%,2025-08-26,Unused
1377,CUPNXX-ID1378,xAfbaNJ2,32%,2026-02-19,Unused
1378,CUPNXX-ID1379,f959hraT,27%,2025-12-29,Active
1379,CUPNXX-ID1380,KvoDl0Qo,7%,2025-08-09,Unused
1380,CUPNXX-ID1381,xAfbaNJ2,20%,2025-12-30,Unused
1381,CUPNXX-ID1382,4GhUfOIC,19%,2026-03-09,Unused
1382,CUPNXX-ID1383,VHvhUUJB,41%,2026-01-31,Used
1383,CUPNXX-ID1384,4GhUfOIC,31%,2025-04-05,Used
1384,CUPNXX-ID1385,qI-LOnNP,37%,2024-03-23,Active
1385,CUPNXX-ID1386,4GhUfOIC,18%,2024-10-22,Active
1386,CUPNXX-ID1387,U8gGPyv1,41%,2025-12-07,Unused
1387,CUPNXX-ID1388,050Tnf9z,36%,2025-09-27,Unused
1388,CUPNXX-ID1389,050Tnf9z,6%,2025-10-18,Active
1389,CUPNXX-ID1390,w7rTDJBF,26%,2024-12-25,Active
1390,CUPNXX-ID1391,YuC2cYFU,50%,2025-08-14,Unused
1391,CUPNXX-ID1392,bsbAexn6,47%,2024-08-20,Unused
1392,CUPNXX-ID1393,bsbAexn6,5%,2025-05-02,Used
1393,CUPNXX-ID1394,BS6iX0H0,45%,2024-05-05,Used
1394,CUPNXX-ID1395,etXMIli-,4%,2025-10-07,Active
1395,CUPNXX-ID1396,26WIPeOm,7%,2025-03-12,Used
1396,CUPNXX-ID1397,av0MmDHl,48%,2025-04-24,Active
1397,CUPNXX-ID1398,pUklKslA,23%,2025-09-01,Active
1398,CUPNXX-ID1399,km5XwyGy,15%,2026-03-11,Unused
1399,CUPNXX-ID1400,QcP3Lwt7,33%,2025-04-08,Active
1400,CUPNXX-ID1401,BS6iX0H0,43%,2025-03-01,Used
1401,CUPNXX-ID1402,QcP3Lwt7,47%,2024-11-28,Used
1402,CUPNXX-ID1403,VHvhUUJB,6%,2025-01-14,Used
1403,CUPNXX-ID1404,YuC2cYFU,30%,2026-02-25,Unused
1404,CUPNXX-ID1405,pUklKslA,33%,2024-04-22,Used
1405,CUPNXX-ID1406,xAfbaNJ2,44%,2025-10-15,Unused
1406,CUPNXX-ID1407,pgbqr5iA,9%,2024-10-04,Unused
1407,CUPNXX-ID1408,4GhUfOIC,4%,2025-07-20,Used
1408,CUPNXX-ID1409,km5XwyGy,4%,2025-10-29,Unused
1409,CUPNXX-ID1410,ya8fRiHn,28%,2025-12-12,Used
1410,CUPNXX-ID1411,#NAME?,8%,2025-10-30,Unused
1411,CUPNXX-ID1412,ya8fRiHn,18%,2024-09-24,Unused
1412,CUPNXX-ID1413,yWYOpTus,19%,2025-06-01,Active
1413,CUPNXX-ID1414,KvoDl0Qo,30%,2025-11-25,Active
1414,CUPNXX-ID1415,4GhUfOIC,7%,2026-02-12,Unused
1415,CUPNXX-ID1416,LPLihMXi,27%,2025-08-03,Unused
1416,CUPNXX-ID1417,pgbqr5iA,11%,2025-11-14,Unused
1417,CUPNXX-ID1418,KLRyJRFm,38%,2024-09-12,Active
1418,CUPNXX-ID1419,nwQoyKYd,14%,2026-01-29,Active
1419,CUPNXX-ID1420,BcO91S2L,36%,2024-07-14,Used
1420,CUPNXX-ID1421,4GhUfOIC,17%,2024-11-19,Unused
1421,CUPNXX-ID1422,QcP3Lwt7,26%,2025-05-06,Active
1422,CUPNXX-ID1423,KvoDl0Qo,29%,2024-12-20,Active
1423,CUPNXX-ID1424,FnNbj3WT,13%,2025-08-26,Unused
1424,CUPNXX-ID1425,Uz6SnVY8,18%,2025-11-18,Active
1425,CUPNXX-ID1426,FnNbj3WT,39%,2025-08-26,Active
1426,CUPNXX-ID1427,bZVauVRq,5%,2025-03-12,Unused
1427,CUPNXX-ID1428,f959hraT,28%,2025-03-22,Active
1428,CUPNXX-ID1429,3CJLjozf,32%,2025-07-17,Unused
1429,CUPNXX-ID1430,LPLihMXi,35%,2025-03-31,Used
1430,CUPNXX-ID1431,BS6iX0H0,31%,2025-05-06,Unused
1431,CUPNXX-ID1432,w7rTDJBF,13%,2024-10-19,Active
1432,CUPNXX-ID1433,BS6iX0H0,34%,2024-07-03,Active
1433,CUPNXX-ID1434,bsbAexn6,7%,2025-06-30,Unused
1434,CUPNXX-ID1435,YJ_RtCzG,23%,2024-11-13,Active
1435,CUPNXX-ID1436,YuC2cYFU,38%,2025-05-30,Unused
1436,CUPNXX-ID1437,w7rTDJBF,14%,2026-03-03,Used
1437,CUPNXX-ID1438,KvoDl0Qo,21%,2024-10-07,Active
1438,CUPNXX-ID1439,26WIPeOm,5%,2024-10-22,Active
1439,CUPNXX-ID1440,I-Kbebw-,5%,2024-08-21,Used
1440,CUPNXX-ID1441,km5XwyGy,47%,2024-05-30,Active
1441,CUPNXX-ID1442,UwrUxelq,11%,2025-02-19,Active
1442,CUPNXX-ID1443,FnNbj3WT,12%,2024-03-29,Unused
1443,CUPNXX-ID1444,YJ_RtCzG,39%,2025-11-12,Used
1444,CUPNXX-ID1445,7ZrBeuaZ,13%,2025-09-01,Active
1445,CUPNXX-ID1446,FnNbj3WT,14%,2025-09-27,Active
1446,CUPNXX-ID1447,aqKkEP7q,21%,2024-04-20,Unused
1447,CUPNXX-ID1448,aqKkEP7q,31%,2026-03-11,Active
1448,CUPNXX-ID1449,av0MmDHl,46%,2025-03-12,Active
1449,CUPNXX-ID1450,#NAME?,12%,2026-02-20,Used
1450,CUPNXX-ID1451,_8_zA-j4,19%,2025-06-26,Active
1451,CUPNXX-ID1452,w7rTDJBF,7%,2024-11-04,Unused
1452,CUPNXX-ID1453,VHvhUUJB,36%,2025-09-20,Unused
1453,CUPNXX-ID1454,bsbAexn6,45%,2025-02-08,Unused
1454,CUPNXX-ID1455,oTL7hUCP,5%,2025-04-20,Active
1455,CUPNXX-ID1456,YJ_RtCzG,10%,2026-02-14,Unused
1456,CUPNXX-ID1457,fS-iX2A9,49%,2025-03-21,Used
1457,CUPNXX-ID1458,a5pqIIA3,44%,2025-02-18,Active
1458,CUPNXX-ID1459,vq8a5G9r,28%,2026-01-18,Unused
1459,CUPNXX-ID1460,a5pqIIA3,18%,2026-01-14,Unused
1460,CUPNXX-ID1461,#NAME?,44%,2024-08-08,Used
1461,CUPNXX-ID1462,EBuTFmsA,34%,2025-01-07,Used
1462,CUPNXX-ID1463,yWYOpTus,44%,2025-07-27,Active
1463,CUPNXX-ID1464,FnNbj3WT,24%,2025-01-11,Used
1464,CUPNXX-ID1465,xAfbaNJ2,22%,2024-11-15,Used
1465,CUPNXX-ID1466,oTL7hUCP,26%,2025-11-30,Active
1466,CUPNXX-ID1467,LPLihMXi,47%,2025-11-09,Used
1467,CUPNXX-ID1468,U8gGPyv1,21%,2025-07-08,Unused
1468,CUPNXX-ID1469,plpAQqfp,23%,2026-02-01,Used
1469,CUPNXX-ID1470,av0MmDHl,27%,2024-04-15,Unused
1470,CUPNXX-ID1471,UwrUxelq,46%,2025-10-12,Active
1471,CUPNXX-ID1472,VHvhUUJB,49%,2024-07-06,Unused
1472,CUPNXX-ID1473,FnNbj3WT,7%,2024-05-03,Unused
1473,CUPNXX-ID1474,UwrUxelq,8%,2024-09-15,Used
1474,CUPNXX-ID1475,FnNbj3WT,22%,2024-08-17,Active
1475,CUPNXX-ID1476,3CJLjozf,7%,2025-04-11,Used
1476,CUPNXX-ID1477,YJ_RtCzG,7%,2026-03-05,Used
1477,CUPNXX-ID1478,km5XwyGy,24%,2025-06-13,Used
1478,CUPNXX-ID1479,eKAbZjaL,17%,2025-11-25,Used
1479,CUPNXX-ID1480,xAfbaNJ2,9%,2025-01-04,Used
